RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,1,0.1,,,,,130,Magic,DBScan,2.0613532066345215,0.7771819137749737,0.7771819137749737,0.28404163736258825,0.6355662567718634
,1,,Ward,,,,131,Magic,Agglomerative Clustering - Ward,11.81140661239624,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
10,1,,,,,,132,Magic,Spectral Clustering,101.19134855270386,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
,1,,,0.1,,,133,Magic,Birch,1.4374606609344482,0.7445320715036803,0.7445320715036804,0.2124789632027602,0.5930315339838351
,,,,,100,,134,Magic,Mean Shift,453.0923550128937,0.6654048370136698,0.6654048370136699,0.02986738091407889,0.4985817838008194
10,,,,,100,,135,Magic,Affinity Propagation,708.8201305866241,0.8129337539432177,0.8129337539432177,0.37910607914361955,0.6848259367525911
,,0.1,,,,0.1,136,Magic,Optics,37.19014358520508,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
57,1.5,,,,150,,137,Magic,K-means,0.06778430938720703,0.7252365930599369,0.7252365930599369,0.18348134377758146,0.568918584508785
,1.5,0.5,,,,,138,Magic,DBScan,12.19122052192688,0.648527865404837,0.648527865404837,0.00026626449658626847,0.47986773001361605
,1.5,,Complete,,,,139,Magic,Agglomerative Clustering - Complete,10.184245109558105,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
57,1.5,,,,,,140,Magic,Spectral Clustering,99.23482298851013,0.7518927444794953,0.7518927444794953,0.2269798094107813,0.6024263869581701
,1.5,,,0.5,,,141,Magic,Birch,0.3261120319366455,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
,,,,,150,,142,Magic,Mean Shift,448.09494638442993,0.6654048370136698,0.6654048370136699,0.02986738091407889,0.4985817838008194
57,,,,,150,,143,Magic,Affinity Propagation,718.0271563529968,0.8129337539432177,0.8129337539432177,0.37910607914361955,0.6848259367525911
,,0.5,,,,0.3,144,Magic,Optics,52.814247608184814,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
965,2,,,,300,,145,Magic,K-means,0.05807137489318848,0.7508937960042061,0.7508937960042061,0.24151866972999647,0.6011448775149424
,2,1.0,,,,,146,Magic,DBScan,11.899724245071411,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
,2,,Average,,,,147,Magic,Agglomerative Clustering - Average,11.290638208389282,0.6497371188222923,0.6497371188222923,0.0023131596370259406,0.4811930535005062
965,2,,,,,,148,Magic,Spectral Clustering,99.8722631931305,0.7272344900105152,0.7272344900105152,0.1973682444385245,0.5713813615333774
,2,,,1.0,,,149,Magic,Birch,0.4377729892730713,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
,,,,,300,,150,Magic,Mean Shift,391.19065952301025,0.6654048370136698,0.6654048370136699,0.02986738091407889,0.4985817838008194
965,,,,,300,,151,Magic,Affinity Propagation,656.540785074234,0.8129337539432177,0.8129337539432177,0.37910607914361955,0.6848259367525911
,,1.0,,,,0.5,152,Magic,Optics,84.13888001441956,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
7821,3,,,,500,,153,Magic,K-means,0.056075096130371094,0.7580441640378549,0.7580441640378549,0.24259965628682936,0.6103632207264414
,3,1.5,,,,,154,Magic,DBScan,7.028822422027588,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
,3,,Single,,,,155,Magic,Agglomerative Clustering - Single,2.7621960639953613,0.6486855941114616,0.6486855941114616,0.0005326956018237975,0.480040463777138
7821,3,,,,,,156,Magic,Spectral Clustering,104.37987017631531,0.7565720294426919,0.756572029442692,0.23825869511652684,0.6084566596194503
,3,,,1.5,,,157,Magic,Birch,0.34177708625793457,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
,,,,,500,,158,Magic,Mean Shift,401.1135504245758,0.6654048370136698,0.6654048370136699,0.02986738091407889,0.4985817838008194
7821,,,,,500,,159,Magic,Affinity Propagation,588.5963015556335,0.8129337539432177,0.8129337539432177,0.37910607914361955,0.6848259367525911
,,1.5,,,,0.8,160,Magic,Optics,78.49880242347717,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
10,1,,,,100,,161,Handwritten,K-means,0.06454133987426758,0.8807829181494662,0.8807829181494662,0.761508810383603,0.7869634340222575
